id,titulo,autor,ano_publicacao,preco
1,The Great Adventure,John Doe,1995,23.45
2,Mystery of the Lost,Jane Smith,2001,15.99
3,A Journey Through Time,Alice Johnson,2010,39.99
4,Code of Honor,Michael Brown,2018,29.50
5,Whispers in the Wind,Emily Davis,1985,10.75
6,Echoes of the Past,Chris Wilson,2005,45.00
7,The Silent Observer,Patricia Miller,2020,12.99
8,Dreams Unfolding,Robert Garcia,2015,25.60
9,Shadows of the Night,Linda Martinez,2003,18.90
10,Beyond the Horizon,James Rodriguez,1990,8.25
11,The Great Adventure,John Doe,1995,23.45
12,Mystery of the Lost,Jane Smith,2001,15.99
13,A Journey Through Time,Alice Johnson,2010,39.99
14,Code of Honor,Michael Brown,2018,29.50
15,Whispers in the Wind,Emily Davis,1985,10.75
16,Echoes of the Past,Chris Wilson,2005,45.00
17,The Silent Observer,Patricia Miller,2020,12.99
18,Dreams Unfolding,Robert Garcia,2015,25.60
19,Shadows of the Night,Linda Martinez,2003,18.90
20,Beyond the Horizon,James Rodriguez,1990,8.25
21,The Great Adventure,John Doe,1995,23.45
22,Mystery of the Lost,Jane Smith,2001,15.99
23,A Journey Through Time,Alice Johnson,2010,39.99
24,Code of Honor,Michael Brown,2018,29.50
25,Whispers in the Wind,Emily Davis,1985,10.75
26,Echoes of the Past,Chris Wilson,2005,45.00
27,The Silent Observer,Patricia Miller,2020,12.99
28,Dreams Unfolding,Robert Garcia,2015,25.60
29,Shadows of the Night,Linda Martinez,2003,18.90
30,Beyond the Horizon,James Rodriguez,1990,8.25
31,The Great Adventure,John Doe,1995,23.45
32,Mystery of the Lost,Jane Smith,2001,15.99
33,A Journey Through Time,Alice Johnson,2010,39.99
34,Code of Honor,Michael Brown,2018,29.50
35,Whispers in the Wind,Emily Davis,1985,10.75
36,Echoes of the Past,Chris Wilson,2005,45.00
37,The Silent Observer,Patricia Miller,2020,12.99
38,Dreams Unfolding,Robert Garcia,2015,25.60
39,Shadows of the Night,Linda Martinez,2003,18.90
40,Beyond the Horizon,James Rodriguez,1990,8.25
